Symbol,Valuation_Score,Profitability_Score,Growth_Score,Debt_Score,Earnings_Quality_Score,Efficiency_Score,Margin_Quality_Score,Return_Quality_Score,Fundamental_Weight
CVX,5.45,5,10,8,10,4,3,5,6.66
DASH,-2.97,3,10,8,-10,4,6,3,2.21
DDOG,-5.0,0,10,8,10,4,3,0,2.8
DUOL,2.09,7,10,8,10,0,7,6,6.27
ELF,-3.18,5,10,8,10,4,7,5,4.7
ELV,7.76,3,7,4,6,10,3,4,5.64
ENPH,1.72,5,-5,4,-4,2,4,4,1.38
FANG,2.22,5,-5,8,-10,-2,7,3,1.4
FCX,-3.64,4,-5,6,10,2,4,4,1.54
FIG,6.86,-7,10,8,-5,2,0,-8,2.22
FLEX,-3.58,4,3,-1,-4,8,-5,5,0.2
FTNT,-4.0,10,10,-10,10,6,10,10,3.3
GLW,-4.34,6,10,4,10,4,4,5,3.87
GOOGL,2.21,10,10,10,10,4,10,10,7.75
GTLB,6.36,-7,10,8,-10,4,0,-8,1.69
HAL,5.19,6,3,4,5,6,1,6,4.7
HD,-3.61,8,-5,-10,-10,10,4,9,-1.4
HIMS,10.0,-7,10,-1,-10,8,0,-8,1.45
HOOD,-3.89,8,-5,-4,10,-4,10,6,0.88
HUBS,10.0,0,10,8,10,4,0,-2,6.3
INTC,7.63,-7,-5,8,-10,-2,-3,-8,-0.69
INTU,6.71,8,7,8,-4,4,8,7,6.08
IONQ,-5.0,-7,10,10,10,-6,-6,-8,0.35
IREN,-5.0,-7,-5,8,-10,-2,0,-8,-3.7
ISRG,-4.42,9,7,10,6,2,10,7,4.8
IT,6.59,8,3,-10,-10,6,8,8,2.3
JOBY,10.0,-7,10,10,10,-6,0,-8,4.4
KLAC,6.5,10,3,2,10,6,10,10,6.68
KVYO,9.42,-7,10,10,10,4,0,-8,4.76
LIN,-3.62,8,3,4,-4,0,7,6,2.0
LLY,-4.53,10,10,-4,6,6,10,10,3.67
LMT,-3.04,7,3,-10,-10,8,1,8,-0.56
LRCX,-3.58,10,10,8,10,8,8,10,6.1
MA,-4.49,10,7,-10,6,6,10,10,2.33
MCK,2.39,2,3,-10,10,5,-5,3,1.1
MDB,-4.74,-7,10,10,-4,2,0,-8,-0.29
MELI,-4.08,7,10,-7,-10,6,5,8,0.78
META,-3.7,10,10,8,10,2,10,10,5.88
MNDY,1.76,4,10,8,10,4,0,4,5.34
MPWR,-3.98,9,7,10,8,2,10,8,5.16
MRK,-3.57,10,3,4,-10,4,10,9,2.31
MRVL,-5.0,4,10,8,-10,0,8,3,1.8
MSFT,4.88,10,7,8,10,0,10,10,7.47
MSTR,3.5,-7,3,10,-3,-6,0,-8,0.42
MU,-3.97,10,10,8,10,2,10,10,5.81
NBIS,-5.0,-7,10,4,-10,-6,0,-8,-2.25
NEE,7.14,7,7,2,10,-2,10,5,6.18
NEM,7.44,10,10,8,-10,0,8,8,6.36
NET,-1.75,-7,10,2,-10,2,0,-8,-1.34
NFLX,-3.78,10,7,8,4,4,8,10,4.81
NKE,3.89,5,3,4,-10,8,4,6,2.92
NOC,7.33,8,3,2,5,6,1,8,5.43
NOW,-3.64,6,10,6,-10,4,7,5,2.49
NSC,1.99,9,3,4,-10,0,7,7,3.05
NU,2.11,7,10,-7,10,2,6,7,4.13
NUE,1.99,3,3,8,10,4,0,3,4.1
NVDA,2.03,10,10,10,10,8,10,10,7.91
NVO,10.0,10,-5,4,-4,4,10,10,5.15
ORCL,6.99,9,10,-4,10,2,10,8,6.45
PANW,-5.0,0,10,4,-10,0,6,0,0.15
PATH,1.68,4,7,8,10,2,3,4,4.92
PAYX,1.96,9,7,-4,2,2,10,8,3.94
PCTY,2.07,6,7,-4,10,2,8,5,3.92
PLTR,-1.75,10,10,10,10,2,10,9,6.61
POOL,6.68,8,3,4,-4,8,3,9,4.92
PWR,-3.47,3,7,4,5,8,0,4,2.48
RCL,7.19,10,3,-4,-4,2,8,9,4.2
REGN,7.83,8,7,10,-4,-2,10,6,6.41
RTX,1.94,4,7,4,10,4,3,4,4.49
SHOP,-5.0,6,10,10,-10,2,5,5,2.55
SLB,-4.28,5,3,4,-10,4,1,5,0.48
SNOW,-5.0,-7,10,-4,10,6,0,-8,-0.85
SOFI,-3.66,3,10,-7,10,-2,7,2,1.48
SOUN,4.9,-7,10,8,-10,0,-3,-8,0.98
SYM,5.66,-7,10,-1,10,6,-6,-8,1.97
TEAM,10.0,-7,10,-4,10,8,0,-8,3.0
TEM,-5.0,-7,10,-4,10,6,0,-8,-0.85
TMO,-3.9,6,7,4,4,0,6,5,2.82
TMUS,6.55,7,3,-1,-10,2,8,6,3.14
TOST,-4.07,8,10,8,10,10,2,8,5.28
TSLA,-5.0,0,10,8,-4,4,-3,0,1.1
TTD,6.23,7,3,4,-10,4,8,6,3.91
TWLO,10.0,0,7,10,-10,2,1,-2,4.1
TXN,-3.9,10,7,4,2,2,10,9,3.93
TYL,1.68,5,3,8,2,0,6,4,3.77
U,8.59,-7,10,4,10,0,0,-8,3.45
UBER,6.97,9,7,4,10,4,5,9,7.09
UI,-3.2,10,10,8,4,10,8,10,5.7
UMAC,5.84,-7,10,10,3,-2,-3,-8,2.71
UNH,2.18,5,3,2,10,8,2,6,4.1
UPST,-3.65,1,10,-1,10,2,6,2,2.14
VEEV,-3.26,8,7,10,6,-2,10,6,4.64
VRT,-4.18,9,10,2,10,6,5,9,4.56
WAT,-4.06,9,3,4,-4,4,10,9,2.58
WDAY,-3.16,3,7,4,10,4,6,3,3.11
XOM,-4.04,5,-5,8,-10,4,3,5,0.04
ZBRA,-3.06,5,7,4,-10,4,5,5,1.59
ZENA,10.0,-7,10,8,-10,-6,0,-8,2.1
ZS,-4.2,-7,10,2,-10,2,0,-8,-1.95
